"id","sire","dam","generation","sex","tank","age","weight","period"
2973,2713,2538,7,1,2,1,482.2,7
2974,2713,2538,7,2,4,1,437.7,8
2975,2713,2538,7,1,2,1,478.2,7
2976,2713,2538,7,2,4,1,454.6,7
2977,2713,2598,7,1,3,1,448.4,7
2978,2713,2598,7,2,3,1,387.2,8
2979,2713,2598,7,1,1,1,442.8,7
2980,2713,2598,7,2,3,1,526.3,8
2981,2713,2598,7,1,3,1,485.3,7
2982,2713,2598,7,2,1,1,387.2,8
2983,2713,2598,7,1,3,1,529.2,8
2984,2713,2598,7,2,3,1,428.2,7
2985,2713,2602,7,1,1,1,406.9,7
2986,2713,2602,7,2,4,1,507.2,7
2987,2713,2602,7,1,1,1,486.5,7
2988,2713,2602,7,2,1,1,383.4,7
2989,2713,2602,7,1,4,1,518.3,8
2990,2713,2602,7,2,4,1,450.6,7
2991,2713,2602,7,1,3,1,548.6,8
2992,2713,2602,7,2,2,1,392,8
2993,2713,2420,7,1,1,1,477.6,8
2994,2713,2420,7,2,4,1,343.7,7
2995,2713,2420,7,1,4,1,451.9,8
2996,2713,2420,7,2,2,1,449.5,8
2997,2713,2420,7,1,2,1,437.8,7
2998,2713,2420,7,2,1,1,422.2,8
2999,2713,2420,7,1,3,1,505.7,8
3000,2713,2420,7,2,2,1,480.5,8
3001,2655,2434,7,1,4,1,463.5,8
3002,2655,2434,7,2,4,1,477.2,7
3003,2655,2434,7,1,3,1,569.3,8
3004,2655,2434,7,2,1,1,439.4,7
3005,2655,2434,7,1,4,1,535.9,7
3006,2655,2434,7,2,1,1,401.9,7
3007,2655,2434,7,1,3,1,462.6,7
3008,2655,2434,7,2,3,1,582.6,8
3009,2655,2800,7,1,1,1,473.7,7
3010,2655,2800,7,2,2,1,491.6,7
3011,2655,2800,7,1,1,1,471.1,8
3012,2655,2800,7,2,4,1,401.6,8
3013,2655,2800,7,1,1,1,390.9,8
3014,2655,2800,7,2,1,1,443.1,8
3015,2655,2800,7,1,2,1,547.5,7
3016,2655,2800,7,2,2,1,472.6,7
3017,2655,2716,7,1,2,1,412.6,8
3018,2655,2716,7,2,3,1,457.9,8
3019,2655,2716,7,1,1,1,500.8,8
3020,2655,2716,7,2,1,1,361.7,8
3021,2655,2716,7,1,2,1,367.3,8
3022,2655,2716,7,2,1,1,393.4,7
3023,2655,2716,7,1,1,1,454.4,7
3024,2655,2716,7,2,3,1,402.5,7
3025,2655,2662,7,1,3,1,590.5,7
3026,2655,2662,7,2,2,1,502.4,7
3027,2655,2662,7,1,4,1,351.3,7
3028,2655,2662,7,2,2,1,470.6,8
3029,2655,2662,7,1,1,1,450.2,8
3030,2655,2662,7,2,3,1,388.4,7
3031,2655,2662,7,1,1,1,514.9,8
3032,2655,2662,7,2,2,1,420.7,7
3033,2655,2514,7,1,2,1,457.5,8
3034,2655,2514,7,2,1,1,511.5,7
3035,2655,2514,7,1,3,1,486.9,7
3036,2655,2514,7,2,1,1,481.2,7
3037,2655,2514,7,1,3,1,420.7,8
3038,2655,2514,7,2,2,1,529.6,7
3039,2655,2514,7,1,3,1,485.9,8
3040,2655,2514,7,2,1,1,469.2,8
3041,2749,2684,7,1,2,1,420.2,8
3042,2749,2684,7,2,2,1,436.2,7
3043,2749,2684,7,1,1,1,412.5,7
3044,2749,2684,7,2,4,1,461.9,7
3045,2749,2684,7,1,4,1,439.6,7
3046,2749,2684,7,2,1,1,398.6,8
3047,2749,2684,7,1,2,1,465.7,8
3048,2749,2684,7,2,4,1,322.2,7
3049,2749,2652,7,1,1,1,529.7,7
3050,2749,2652,7,2,1,1,458.5,7
3051,2749,2652,7,1,3,1,510.5,8
3052,2749,2652,7,2,3,1,423.3,7
3053,2749,2652,7,1,1,1,462.5,7
3054,2749,2652,7,2,2,1,423.9,7
3055,2749,2652,7,1,2,1,382,7
3056,2749,2652,7,2,3,1,438.2,7
3057,2749,2728,7,1,1,1,454.6,7
3058,2749,2728,7,2,4,1,445.2,7
3059,2749,2728,7,1,4,1,387.9,7
3060,2749,2728,7,2,1,1,434.1,7
3061,2749,2728,7,1,3,1,504.5,8
3062,2749,2728,7,2,3,1,473.2,8
3063,2749,2728,7,1,2,1,361.2,8
3064,2749,2728,7,2,1,1,285.6,7
3065,2749,2482,7,1,2,1,492.8,8
3066,2749,2482,7,2,3,1,471.9,8
3067,2749,2482,7,1,4,1,504.2,8
3068,2749,2482,7,2,3,1,411.1,8
3069,2749,2482,7,1,3,1,532.3,8
3070,2749,2482,7,2,3,1,462.4,8
3071,2749,2482,7,1,2,1,404.2,8
3072,2749,2482,7,2,4,1,348.6,7
3073,2749,2542,7,1,1,1,404.7,8
3074,2749,2542,7,2,3,1,417,7
3075,2749,2542,7,1,4,1,487.4,7
3076,2749,2542,7,2,2,1,466.4,7
3077,2749,2542,7,1,2,1,466.7,7
3078,2749,2542,7,2,2,1,446.7,8
3079,2749,2542,7,1,2,1,484.6,8
3080,2749,2542,7,2,1,1,496.1,8
3081,2595,2488,7,1,3,1,528.4,7
3082,2595,2488,7,2,2,1,395,7
3083,2595,2488,7,1,3,1,490.9,8
3084,2595,2488,7,2,2,1,487.6,7
3085,2595,2488,7,1,1,1,428.3,8
3086,2595,2488,7,2,3,1,418.3,7
3087,2595,2488,7,1,2,1,493.3,7
3088,2595,2488,7,2,4,1,370.9,8
3089,2595,2794,7,1,1,1,520.2,7
3090,2595,2794,7,2,3,1,500.9,7
3091,2595,2794,7,1,2,1,456,7
3092,2595,2794,7,2,4,1,502,7
3093,2595,2794,7,1,3,1,587.7,8
3094,2595,2794,7,2,3,1,471.4,8
3095,2595,2794,7,1,1,1,490.4,8
3096,2595,2794,7,2,1,1,371.4,7
3097,2595,2492,7,1,1,1,492.1,7
3098,2595,2492,7,2,4,1,424.3,7
3099,2595,2492,7,1,1,1,492.5,8
3100,2595,2492,7,2,1,1,505.7,8
3101,2595,2492,7,1,4,1,461.3,8
3102,2595,2492,7,2,3,1,446.7,7
3103,2595,2492,7,1,1,1,493,8
3104,2595,2492,7,2,2,1,441,7
3105,2595,2696,7,1,2,1,442.9,7
3106,2595,2696,7,2,1,1,479.7,7
3107,2595,2696,7,1,3,1,557.5,7
3108,2595,2696,7,2,4,1,402.5,7
3109,2595,2696,7,1,2,1,501.2,7
3110,2595,2696,7,2,4,1,495.4,7
3111,2595,2696,7,1,3,1,527.2,8
3112,2595,2696,7,2,3,1,442.3,8
3113,2595,2484,7,1,1,1,492.1,8
3114,2595,2484,7,2,4,1,440.6,7
3115,2595,2484,7,1,1,1,450.3,8
3116,2595,2484,7,2,2,1,442.5,7
3117,2595,2484,7,1,3,1,498.6,8
3118,2595,2484,7,2,1,1,437.5,8
3119,2595,2484,7,1,4,1,376.5,8
3120,2595,2484,7,2,4,1,466.5,7
3121,2793,2780,7,1,2,1,522.5,7
3122,2793,2780,7,2,1,1,431.1,7
3123,2793,2780,7,1,1,1,456,7
3124,2793,2780,7,2,3,1,467.1,7
3125,2793,2780,7,1,3,1,501.9,7
3126,2793,2780,7,2,3,1,390.1,7
3127,2793,2780,7,1,1,1,427.3,7
3128,2793,2780,7,2,4,1,436.1,8
3129,2793,2658,7,1,3,1,458.5,8
3130,2793,2658,7,2,1,1,407.2,8
3131,2793,2658,7,1,4,1,374,8
3132,2793,2658,7,2,4,1,399,7
3133,2793,2658,7,1,1,1,384.7,7
3134,2793,2658,7,2,1,1,417.1,7
3135,2793,2658,7,1,1,1,484.7,7
3136,2793,2658,7,2,1,1,431.2,8
3137,2793,2536,7,1,4,1,477.9,7
3138,2793,2536,7,2,3,1,592.8,7
3139,2793,2536,7,1,1,1,478.5,8
3140,2793,2536,7,2,1,1,528.7,8
3141,2793,2536,7,1,1,1,465.1,8
3142,2793,2536,7,2,4,1,525.7,8
3143,2793,2536,7,1,1,1,501.6,8
3144,2793,2536,7,2,4,1,507.6,7
3145,2793,2690,7,1,2,1,486,7
3146,2793,2690,7,2,4,1,451,8
3147,2793,2690,7,1,1,1,459.5,8
3148,2793,2690,7,2,2,1,544.3,8
3149,2793,2690,7,1,3,1,523.1,8
3150,2793,2690,7,2,3,1,494.2,7
3151,2793,2690,7,1,1,1,476.8,7
3152,2793,2690,7,2,3,1,495.6,7
3153,2793,2782,7,1,2,1,455.4,7
3154,2793,2782,7,2,1,1,437.8,8
3155,2793,2782,7,1,2,1,486.3,8
3156,2793,2782,7,2,4,1,458.6,8
3157,2793,2782,7,1,4,1,430.3,8
3158,2793,2782,7,2,4,1,430.5,8
3159,2793,2782,7,1,2,1,452.2,7
3160,2793,2782,7,2,3,1,507.5,8
3161,2481,2682,7,1,1,1,421.9,7
3162,2481,2682,7,2,4,1,453,7
3163,2481,2682,7,1,3,1,475.6,8
3164,2481,2682,7,2,1,1,432,8
3165,2481,2682,7,1,3,1,455.3,7
3166,2481,2682,7,2,1,1,550.3,8
3167,2481,2682,7,1,3,1,485.5,7
3168,2481,2682,7,2,1,1,440.6,7
3169,2481,2436,7,1,2,1,531.2,7
3170,2481,2436,7,2,3,1,430.4,8
3171,2481,2436,7,1,1,1,495.9,8
3172,2481,2436,7,2,1,1,538.3,8
3173,2481,2436,7,1,2,1,457.1,8
3174,2481,2436,7,2,3,1,490.1,8
3175,2481,2436,7,1,2,1,511.2,7
3176,2481,2436,7,2,4,1,511.3,7
3177,2481,2656,7,1,2,1,452.3,7
3178,2481,2656,7,2,4,1,414.6,8
3179,2481,2656,7,1,4,1,514.5,7
3180,2481,2656,7,2,2,1,451.8,8
3181,2481,2656,7,1,2,1,400.4,7
3182,2481,2656,7,2,3,1,380.9,8
3183,2481,2656,7,1,2,1,541.3,7
3184,2481,2656,7,2,1,1,522.7,7
3185,2481,2504,7,1,4,1,409.1,8
3186,2481,2504,7,2,3,1,493.2,7
3187,2481,2504,7,1,1,1,471.3,8
3188,2481,2504,7,2,2,1,442.4,8
3189,2481,2504,7,1,2,1,414.5,7
3190,2481,2504,7,2,1,1,409.6,7
3191,2481,2504,7,1,2,1,476.3,7
3192,2481,2504,7,2,3,1,481.3,7
3193,2481,2596,7,1,4,1,396.3,7
3194,2481,2596,7,2,4,1,398.8,8
3195,2481,2596,7,1,4,1,384.5,7
3196,2481,2596,7,2,1,1,432.1,8
3197,2481,2596,7,1,1,1,421.6,7
3198,2481,2596,7,2,1,1,405.9,7
3199,2481,2596,7,1,4,1,397.3,8
3200,2481,2596,7,2,4,1,329.4,7
3201,2941,2888,8,1,2,1,507.8,9
3202,2941,2888,8,2,1,1,392.4,9
3203,2941,2888,8,1,4,1,508,9
3204,2941,2888,8,2,1,1,475.8,8
3205,2941,2888,8,1,4,1,395.2,9
3206,2941,2888,8,2,2,1,455.5,9
3207,2941,2888,8,1,4,1,398.5,9
3208,2941,2888,8,2,1,1,486.8,8
3209,2941,3104,8,1,1,1,400.9,9
3210,2941,3104,8,2,4,1,413.5,8
3211,2941,3104,8,1,3,1,561.5,8
3212,2941,3104,8,2,4,1,412.9,9
3213,2941,3104,8,1,3,1,490.1,9
3214,2941,3104,8,2,4,1,447.8,8
3215,2941,3104,8,1,2,1,503.2,9
3216,2941,3104,8,2,4,1,454.2,9
3217,2941,2924,8,1,3,1,525.5,8
3218,2941,2924,8,2,3,1,429.1,9
3219,2941,2924,8,1,2,1,542.7,9
3220,2941,2924,8,2,4,1,432.2,8
3221,2941,2924,8,1,3,1,545.5,8
3222,2941,2924,8,2,3,1,523.6,8
3223,2941,2924,8,1,3,1,519.1,8
3224,2941,2924,8,2,4,1,571.8,9
3225,2941,3084,8,1,3,1,432.8,9
3226,2941,3084,8,2,3,1,464.7,9
3227,2941,3084,8,1,2,1,521.7,9
3228,2941,3084,8,2,4,1,441.9,9
3229,2941,3084,8,1,2,1,544.6,8
3230,2941,3084,8,2,1,1,462,9
3231,2941,3084,8,1,3,1,454.1,8
3232,2941,3084,8,2,1,1,395.6,9
3233,2941,2938,8,1,3,1,455.6,9
3234,2941,2938,8,2,2,1,496.5,8
3235,2941,2938,8,1,1,1,449,9
3236,2941,2938,8,2,4,1,432,8
3237,2941,2938,8,1,3,1,515.2,9
3238,2941,2938,8,2,4,1,400.7,8
3239,2941,2938,8,1,2,1,559.2,8
3240,2941,2938,8,2,3,1,521.1,9
3241,3071,3056,8,1,1,1,411.8,8
3242,3071,3056,8,2,4,1,351.9,9
3243,3071,3056,8,1,3,1,483.8,8
3244,3071,3056,8,2,3,1,417.5,8
3245,3071,3056,8,1,1,1,346.2,8
3246,3071,3056,8,2,1,1,432.4,8
3247,3071,3056,8,1,1,1,486.1,9
3248,3071,3056,8,2,3,1,506.1,8
3249,3071,3044,8,1,2,1,553,8
3250,3071,3044,8,2,4,1,426.5,8
3251,3071,3044,8,1,2,1,406.1,8
3252,3071,3044,8,2,4,1,295,8
3253,3071,3044,8,1,4,1,419.2,9
3254,3071,3044,8,2,3,1,440.5,9
3255,3071,3044,8,1,3,1,516.5,8
3256,3071,3044,8,2,4,1,474.7,9
3257,3071,3112,8,1,4,1,433.9,9
3258,3071,3112,8,2,4,1,378.6,9
3259,3071,3112,8,1,1,1,425.4,9
3260,3071,3112,8,2,1,1,407.3,8
3261,3071,3112,8,1,1,1,397.6,9
3262,3071,3112,8,2,2,1,432.1,9
3263,3071,3112,8,1,2,1,385.6,8
3264,3071,3112,8,2,2,1,447.7,9
3265,3071,3196,8,1,1,1,493.1,8
3266,3071,3196,8,2,4,1,433.7,8
3267,3071,3196,8,1,4,1,400.9,9
3268,3071,3196,8,2,4,1,487.5,9
3269,3071,3196,8,1,4,1,512.5,9
3270,3071,3196,8,2,1,1,419.2,8
3271,3071,3196,8,1,2,1,512.8,8
3272,3071,3196,8,2,4,1,446.3,8
3273,3071,3042,8,1,2,1,378.7,9
3274,3071,3042,8,2,3,1,407,9
3275,3071,3042,8,1,2,1,426.5,9
3276,3071,3042,8,2,3,1,408,9
3277,3071,3042,8,1,4,1,382.8,9
3278,3071,3042,8,2,1,1,361.4,9
3279,3071,3042,8,1,4,1,455.1,9
3280,3071,3042,8,2,1,1,413.2,9
3281,3069,3054,8,1,2,1,473.8,8
3282,3069,3054,8,2,1,1,430,8
3283,3069,3054,8,1,3,1,464.7,9
3284,3069,3054,8,2,1,1,438.4,9
3285,3069,3054,8,1,3,1,461.6,8
3286,3069,3054,8,2,4,1,380.2,9
3287,3069,3054,8,1,4,1,458,8
3288,3069,3054,8,2,1,1,359.2,8
3289,3069,3198,8,1,3,1,539.4,8
3290,3069,3198,8,2,3,1,415.6,8
3291,3069,3198,8,1,2,1,485.4,8
3292,3069,3198,8,2,3,1,434.7,8
3293,3069,3198,8,1,2,1,521.7,8
3294,3069,3198,8,2,4,1,491,9
3295,3069,3198,8,1,2,1,572,8
3296,3069,3198,8,2,1,1,416.5,8
3297,3069,3172,8,1,2,1,545.3,9
3298,3069,3172,8,2,1,1,408.8,9
3299,3069,3172,8,1,4,1,429.4,8
3300,3069,3172,8,2,3,1,403.3,8
3301,3069,3172,8,1,4,1,484.9,9
3302,3069,3172,8,2,4,1,482.9,8
3303,3069,3172,8,1,3,1,484.2,8
3304,3069,3172,8,2,4,1,408.2,9
3305,3069,3134,8,1,1,1,407,8
3306,3069,3134,8,2,2,1,465.8,8
3307,3069,3134,8,1,1,1,523.4,8
3308,3069,3134,8,2,3,1,471.3,9
3309,3069,3134,8,1,2,1,502,8
3310,3069,3134,8,2,1,1,476.6,9
3311,3069,3134,8,1,2,1,518.5,8
3312,3069,3134,8,2,2,1,435.2,9
3313,3069,3062,8,1,1,1,379.8,9
3314,3069,3062,8,2,2,1,456,9
3315,3069,3062,8,1,2,1,376.8,9
3316,3069,3062,8,2,1,1,392.4,9
3317,3069,3062,8,1,2,1,448.1,8
3318,3069,3062,8,2,3,1,444.4,8
3319,3069,3062,8,1,2,1,373.2,9
3320,3069,3062,8,2,4,1,349.2,8
3321,3115,3070,8,1,4,1,437.9,9
3322,3115,3070,8,2,4,1,315,8
3323,3115,3070,8,1,3,1,476.4,9
3324,3115,3070,8,2,3,1,427.4,9
3325,3115,3070,8,1,3,1,475.8,9
3326,3115,3070,8,2,1,1,370.6,8
3327,3115,3070,8,1,3,1,438.9,9
3328,3115,3070,8,2,4,1,438.1,8
3329,3115,2926,8,1,2,1,547.8,9
3330,3115,2926,8,2,1,1,473.9,9
3331,3115,2926,8,1,4,1,461.1,8
3332,3115,2926,8,2,2,1,534.3,9
3333,3115,2926,8,1,4,1,484.7,8
3334,3115,2926,8,2,4,1,464.9,8
3335,3115,2926,8,1,3,1,583.1,8
3336,3115,2926,8,2,3,1,491.7,8
3337,3115,2880,8,1,2,1,520.8,8
3338,3115,2880,8,2,2,1,473.4,9
3339,3115,2880,8,1,3,1,411.3,8
3340,3115,2880,8,2,1,1,410.4,8
3341,3115,2880,8,1,3,1,514.6,9
3342,3115,2880,8,2,4,1,355.9,9
3343,3115,2880,8,1,1,1,481.1,9
3344,3115,2880,8,2,1,1,445.1,8
3345,3115,2960,8,1,2,1,492.7,8
3346,3115,2960,8,2,3,1,488.8,9
3347,3115,2960,8,1,1,1,486.2,8
3348,3115,2960,8,2,2,1,418.5,9
3349,3115,2960,8,1,1,1,462.8,9
3350,3115,2960,8,2,2,1,498.2,8
3351,3115,2960,8,1,4,1,399.8,9
3352,3115,2960,8,2,2,1,398,9
3353,3115,3066,8,1,1,1,467.9,8
3354,3115,3066,8,2,3,1,493.1,9
3355,3115,3066,8,1,4,1,515.8,8
3356,3115,3066,8,2,3,1,442.7,8
3357,3115,3066,8,1,2,1,384,9
3358,3115,3066,8,2,4,1,467.1,9
3359,3115,3066,8,1,2,1,486.7,8
3360,3115,3066,8,2,2,1,442.8,8
3361,3065,3072,8,1,3,1,443.5,9
3362,3065,3072,8,2,1,1,430.4,8
3363,3065,3072,8,1,4,1,340.6,9
3364,3065,3072,8,2,3,1,442,9
3365,3065,3072,8,1,1,1,419.9,9
3366,3065,3072,8,2,4,1,368.6,9
3367,3065,3072,8,1,2,1,531.2,8
3368,3065,3072,8,2,2,1,429.6,8
3369,3065,3108,8,1,1,1,558.2,8
3370,3065,3108,8,2,1,1,403.2,8
3371,3065,3108,8,1,3,1,467.1,8
3372,3065,3108,8,2,2,1,471.5,8
3373,3065,3108,8,1,4,1,401.7,9
3374,3065,3108,8,2,1,1,372.9,8
3375,3065,3108,8,1,2,1,505.6,8
3376,3065,3108,8,2,4,1,422.3,8
3377,3065,3082,8,1,1,1,464.5,8
3378,3065,3082,8,2,3,1,415.7,9
3379,3065,3082,8,1,4,1,408.2,9
3380,3065,3082,8,2,1,1,411.8,9
3381,3065,3082,8,1,3,1,457.9,8
3382,3065,3082,8,2,4,1,422.2,8
3383,3065,3082,8,1,4,1,535.6,9
3384,3065,3082,8,2,3,1,508,9
3385,3065,3102,8,1,1,1,444.2,8
3386,3065,3102,8,2,2,1,423.7,8
3387,3065,3102,8,1,2,1,521.5,9
3388,3065,3102,8,2,4,1,359.9,9
3389,3065,3102,8,1,4,1,425.2,8
3390,3065,3102,8,2,4,1,328.7,9
3391,3065,3102,8,1,2,1,484.1,8
3392,3065,3102,8,2,4,1,456,9
3393,3065,3068,8,1,4,1,438.1,8
3394,3065,3068,8,2,1,1,432.2,9
3395,3065,3068,8,1,3,1,492.4,9
3396,3065,3068,8,2,1,1,390.7,9
3397,3065,3068,8,1,3,1,449.3,9
3398,3065,3068,8,2,2,1,431.9,8
3399,3065,3068,8,1,4,1,453.8,8
3400,3065,3068,8,2,3,1,428.9,8
3401,2883,2940,8,1,4,1,470.4,9
3402,2883,2940,8,2,1,1,530.4,9
3403,2883,2940,8,1,2,1,423.5,8
3404,2883,2940,8,2,3,1,477.6,9
3405,2883,2940,8,1,2,1,415.6,9
3406,2883,2940,8,2,4,1,464.4,8
3407,2883,2940,8,1,1,1,459.9,9
3408,2883,2940,8,2,4,1,444.6,8
3409,2883,2910,8,1,2,1,504.7,8
3410,2883,2910,8,2,1,1,486.7,8
