"id","sire","dam","gen","sex","tank","bwt","fwt","minl","period"
51,0,0,0,1,1,133.1,165.1,591.4,0
52,0,0,0,2,1,170.9,137.8,577,1
53,0,0,0,1,3,105.2,120.6,612.8,0
54,0,0,0,2,1,137.2,126.8,543.4,0
55,0,0,0,1,1,111.3,150,604.1,0
56,0,0,0,2,1,143,88.9,545.6,0
57,0,0,0,1,2,186.6,143.3,614.9,1
58,0,0,0,2,4,162.3,182.6,658.5,0
59,0,0,0,1,1,157.1,123.8,652.3,0
60,0,0,0,2,3,112.3,154.1,639.8,0
61,0,0,0,1,3,74.4,138.7,592.5,0
62,0,0,0,2,1,194.3,95.6,556.9,0
63,0,0,0,1,1,154.4,106.5,638.2,1
64,0,0,0,2,4,166.6,120.6,573,0
65,0,0,0,1,2,172.5,139.4,610,0
66,0,0,0,2,4,132.4,98.5,608.3,0
67,0,0,0,1,1,134.8,147,617.5,1
68,0,0,0,2,3,153.8,139.9,646.1,0
69,0,0,0,1,4,133.4,159.4,616.3,0
70,0,0,0,2,3,134.8,104.8,613.6,0
71,0,0,0,1,2,157.2,165.4,609.4,1
72,0,0,0,2,1,150,106.7,616.7,0
73,0,0,0,1,2,157,112.8,641.3,0
74,0,0,0,2,4,166.4,183,556.4,1
75,0,0,0,1,2,115,97.2,612.3,1
76,0,0,0,2,2,176.3,152.7,663.2,1
77,0,0,0,1,4,145.2,197,616.6,0
78,0,0,0,2,4,148.8,116.8,552,1
79,0,0,0,1,1,128.9,146.4,596.2,0
80,0,0,0,2,2,151.4,135.1,658.1,1
81,0,0,0,1,4,99.4,153.4,644,1
82,0,0,0,2,1,159.6,107.5,588.1,0
83,0,0,0,1,2,146.5,159.6,605.6,0
84,0,0,0,2,2,168.5,129.5,615.2,0
85,0,0,0,1,2,128.7,198.2,639.5,1
86,0,0,0,2,4,164.6,152.5,521,1
87,0,0,0,1,3,108.8,160.3,683.8,1
88,0,0,0,2,4,139.4,137,564.6,0
89,0,0,0,1,2,132.9,172.6,705.3,1
90,0,0,0,2,2,184.7,192.2,623.1,1
91,0,0,0,1,3,162.4,116,607.1,0
92,0,0,0,2,4,100.3,148,592.6,0
93,0,0,0,1,3,156.8,131,636.4,1
94,0,0,0,2,3,140.7,98.5,580.1,1
95,0,0,0,1,4,152.7,203.9,585.2,1
96,0,0,0,2,4,128.2,116.3,577.6,1
97,0,0,0,1,4,137.4,153.1,549.8,0
98,0,0,0,2,1,149.9,127,588.9,1
99,0,0,0,1,3,125.3,120.5,665.4,0
100,0,0,0,2,4,140.9,168.1,521.1,0
101,0,0,0,1,2,140.5,130.4,562.4,0
102,0,0,0,2,1,138.8,149.5,625.8,1
103,0,0,0,1,3,109.6,133.3,617.2,0
104,0,0,0,2,1,182.6,145.7,618.2,1
105,0,0,0,1,3,120.8,109,568.5,0
106,0,0,0,2,1,185.8,130.2,592.1,1
107,0,0,0,1,2,135.8,146.8,547.9,0
108,0,0,0,2,1,124.5,147.4,577.1,0
109,0,0,0,1,2,168.2,181.3,685.5,1
110,0,0,0,2,1,91.7,132.5,612,1
111,0,0,0,1,4,139,206.8,611.1,0
112,0,0,0,2,4,114.8,109.1,589,1
113,0,0,0,1,2,125.5,175,636.6,1
114,0,0,0,2,4,157.1,103.1,602.5,0
115,0,0,0,1,4,153.3,131.1,634.8,0
116,0,0,0,2,1,142.5,101.5,572.4,0
117,0,0,0,1,3,192.1,132.2,630.8,0
118,0,0,0,2,4,177.8,184.3,590.1,0
119,0,0,0,1,2,186.2,203.4,604.5,0
120,0,0,0,2,1,167,127.5,584.1,1
121,0,0,0,1,2,123.3,123.1,605.4,1
122,0,0,0,2,1,149.8,90.1,541.8,1
123,0,0,0,1,1,152.6,132.3,626.8,1
124,0,0,0,2,1,163.4,132.5,598.1,0
125,0,0,0,1,3,122.1,135.2,592,0
126,0,0,0,2,2,153.6,81.7,590.5,0
127,0,0,0,1,2,174,144.9,591.6,1
128,0,0,0,2,3,141.7,86,693.1,0
129,0,0,0,1,4,160,184.2,604.5,1
130,0,0,0,2,2,177.8,157.5,655.3,1
131,0,0,0,1,1,143.3,191.4,606.5,1
132,0,0,0,2,3,142.8,121.4,629,0
133,0,0,0,1,1,135.9,134.2,542.9,1
134,0,0,0,2,3,117.6,75.9,569.9,1
135,0,0,0,1,1,144.7,107.7,624.4,0
136,0,0,0,2,2,132.1,108.7,640.6,1
137,0,0,0,1,4,150.3,189.4,577.2,0
138,0,0,0,2,4,169.3,98.4,622.6,1
139,0,0,0,1,3,129.8,151.2,619.4,1
140,0,0,0,2,3,90.6,80.4,587.1,0
141,0,0,0,1,1,163.2,166.6,552.8,0
142,0,0,0,2,4,161.3,175.3,589.4,1
143,0,0,0,1,2,186,188.1,543.3,1
144,0,0,0,2,1,134.3,161.8,606.9,0
145,0,0,0,1,2,104.1,149.1,620.8,0
146,0,0,0,2,1,172.8,196.6,616.9,0
147,0,0,0,1,1,136.4,122.4,582.4,1
148,0,0,0,2,3,124.3,73,680.7,0
149,0,0,0,1,1,132.1,149.7,661.4,1
150,0,0,0,2,4,159.4,123.1,548.8,0
151,0,0,0,1,1,140.7,124.2,536.2,1
152,0,0,0,2,1,165.9,129.4,617.4,1
153,0,0,0,1,3,147.2,173.7,607.2,0
154,0,0,0,2,4,151.1,138.2,607.3,1
155,0,0,0,1,1,141.8,189.3,584.3,0
156,0,0,0,2,2,159.1,122.9,629.3,1
157,0,0,0,1,1,178.2,162.1,618.7,0
158,0,0,0,2,3,133.2,159.4,613.7,1
159,0,0,0,1,2,151.1,136.6,590.4,1
160,0,0,0,2,3,118.7,105.8,586.3,0
161,0,0,0,1,1,134.1,118.8,612.9,1
162,0,0,0,2,3,131.1,109.5,653.6,0
163,0,0,0,1,2,107.5,126,559.3,1
164,0,0,0,2,1,141.3,140,572.5,1
165,0,0,0,1,4,147.8,135.4,667.9,0
166,0,0,0,2,3,155.5,118.6,613.4,0
167,0,0,0,1,4,157.5,154.8,565.7,0
168,0,0,0,2,3,117.7,114.2,652,1
169,0,0,0,1,2,120.1,137.8,619.4,1
170,0,0,0,2,4,160.1,132.1,574.1,1
171,0,0,0,1,2,174.7,180.8,659.5,0
172,0,0,0,2,3,127.7,143.2,715.7,1
173,0,0,0,1,3,153.9,133.6,607.2,1
174,0,0,0,2,4,128.2,92.5,579.4,0
175,0,0,0,1,1,115,128.9,591.6,0
176,0,0,0,2,4,144.6,124.7,610.6,1
177,0,0,0,1,1,120.7,128,619.3,1
178,0,0,0,2,1,125.7,147.8,515.4,0
179,0,0,0,1,4,154.2,205.7,686.4,0
180,0,0,0,2,2,131.5,125.6,588.5,1
181,0,0,0,1,1,77.8,145.8,693.2,1
182,0,0,0,2,1,141.7,121,609.5,0
183,0,0,0,1,4,121.6,155.5,600.6,0
184,0,0,0,2,4,127.5,112.8,540.3,1
185,0,0,0,1,2,162.8,133.4,641.3,0
186,0,0,0,2,2,183.1,151.7,612.9,1
187,0,0,0,1,2,148.6,156.7,637.3,1
188,0,0,0,2,4,158,155.9,574,1
189,0,0,0,1,2,154.5,149.7,669.9,0
190,0,0,0,2,1,193,174.5,582.6,0
191,0,0,0,1,4,114.6,117.1,580.6,0
192,0,0,0,2,1,167.9,161.5,554.6,0
193,0,0,0,1,4,137.6,130.8,552.2,0
194,0,0,0,2,3,140.1,135.2,630,0
195,0,0,0,1,2,140.1,112.8,627.7,1
196,0,0,0,2,4,146.2,124.7,536.6,1
197,0,0,0,1,4,142.4,175.5,658,0
198,0,0,0,2,4,123.8,71.9,568.1,1
199,0,0,0,1,1,159.8,164.6,631.1,1
200,0,0,0,2,4,133.6,110.1,593,0
201,0,0,0,1,1,208.2,191.9,579.5,0
202,0,0,0,2,3,131.2,132.6,646.7,0
203,0,0,0,1,2,115.8,148.4,613.9,1
204,0,0,0,2,2,143,167,592.8,0
205,0,0,0,1,1,129.1,138.1,576.8,1
206,0,0,0,2,4,158.6,134.5,546.9,1
207,0,0,0,1,1,111.9,126,578.5,1
208,0,0,0,2,2,188.6,186.8,665.5,0
209,0,0,0,1,2,163,124.2,624.5,0
210,0,0,0,2,3,143.5,128,554.4,0
211,0,0,0,1,2,180.1,146.4,670.2,1
212,0,0,0,2,3,106.7,138.4,545,1
213,0,0,0,1,2,116.8,122.2,599.8,0
214,0,0,0,2,1,152.9,136.3,606.7,1
215,0,0,0,1,4,134.5,165.2,595.6,1
216,0,0,0,2,2,160.3,113,562.7,0
217,0,0,0,1,3,169.5,150.9,672.5,0
218,0,0,0,2,4,154,137.8,573.5,1
219,0,0,0,1,3,115.1,118.2,651.6,1
220,0,0,0,2,2,144.8,104.1,637.3,1
221,0,0,0,1,1,140.4,139.9,624.1,1
222,0,0,0,2,4,163,147.2,580.5,0
223,0,0,0,1,3,121.6,152.2,649.6,0
224,0,0,0,2,1,153,157.9,608.3,0
225,0,0,0,1,1,116.7,123,626,1
226,0,0,0,2,4,114.9,149.6,577.8,0
227,0,0,0,1,1,124.6,113.2,603.9,0
228,0,0,0,2,2,133.5,112.7,566.3,0
229,0,0,0,1,2,195.4,245.2,642.3,1
230,0,0,0,2,4,159.7,79.5,602.4,0
231,0,0,0,1,1,175.9,158.3,693.9,0
232,0,0,0,2,1,169.6,147.1,580.3,1
233,0,0,0,1,4,141.3,159.8,651.8,0
234,0,0,0,2,3,155.9,168.8,585.4,0
235,0,0,0,1,1,153.7,133.7,661.7,1
236,0,0,0,2,2,186.8,124,593.6,0
237,0,0,0,1,1,147.7,157.2,616.2,1
238,0,0,0,2,4,174,162,569.8,1
239,0,0,0,1,3,138.9,122.1,658.4,1
240,0,0,0,2,2,170.1,131.1,606.4,0
241,0,0,0,1,1,179.3,147,648.9,0
242,0,0,0,2,4,138.2,118.4,588.7,0
243,0,0,0,1,3,117.2,88.2,555.2,1
244,0,0,0,2,4,161.7,129.1,600.9,0
245,0,0,0,1,4,156.5,173.4,592.8,0
246,0,0,0,2,4,153.8,135.6,571.6,1
247,0,0,0,1,3,157,164.6,588.8,0
248,0,0,0,2,3,171.3,115.6,621.7,1
249,0,0,0,1,3,142.2,131.5,587.1,1
250,0,0,0,2,4,171.5,147.5,606.4,0
251,0,0,0,1,1,133.5,151,614.4,0
252,0,0,0,2,3,152.3,99,614.5,1
253,0,0,0,1,4,116.4,80,560.5,0
254,0,0,0,2,3,175.6,104.2,557,1
255,0,0,0,1,2,200.5,184.1,646,0
256,0,0,0,2,3,133.6,129.7,600.7,0
257,0,0,0,1,2,172.3,198.6,552.6,0
258,0,0,0,2,4,145.1,113.1,562.7,1
259,0,0,0,1,3,118.6,137.2,612.6,1
260,0,0,0,2,2,200.5,124.8,600.2,1
261,0,0,0,1,1,151.5,104.9,581.5,1
262,0,0,0,2,2,145.4,122.9,643.9,0
263,0,0,0,1,1,166.9,137.7,677.9,0
264,0,0,0,2,4,124,127.7,575.6,0
265,0,0,0,1,2,142.2,128.8,643,0
266,0,0,0,2,4,170.8,143.3,581,1
267,0,0,0,1,4,120.8,132.2,583.6,1
268,0,0,0,2,3,132.8,84.3,613.2,0
269,0,0,0,1,2,166.2,171.5,585.6,1
270,0,0,0,2,4,135.6,157.3,525.8,1
271,0,0,0,1,4,142,154.1,615.3,0
272,0,0,0,2,2,202.8,157.9,613.7,1
273,0,0,0,1,3,137.9,142.5,686.3,1
274,0,0,0,2,2,147.8,138.1,629.6,0
275,0,0,0,1,1,159.1,166,590.6,0
276,0,0,0,2,1,127.8,158.8,518.1,0
277,0,0,0,1,2,155.9,108.3,539.1,1
278,0,0,0,2,3,182.7,89,654.9,0
279,0,0,0,1,3,128.7,133.9,539,1
280,0,0,0,2,2,129.8,141.3,576.7,1
281,0,0,0,1,2,184.5,202,626.3,1
282,0,0,0,2,4,184.1,144.7,554.7,0
283,0,0,0,1,3,148.9,138,626,0
284,0,0,0,2,3,134.6,143.1,621,0
285,0,0,0,1,3,127.5,195.7,591.3,1
286,0,0,0,2,2,124.9,126.3,610.5,0
287,0,0,0,1,2,175.1,183.7,667.7,0
288,0,0,0,2,3,154.8,154.4,580.7,0
289,0,0,0,1,2,161.7,143.8,628.4,1
290,0,0,0,2,3,144,108.4,649.7,0
291,0,0,0,1,1,140.7,170.1,579,0
292,0,0,0,2,4,185.1,152.5,564,1
293,0,0,0,1,2,96.1,107.9,560.1,1
294,0,0,0,2,1,134.2,127,570.9,1
295,0,0,0,1,4,131.1,187.2,512.1,1
296,0,0,0,2,4,133.9,132.8,548.4,0
297,0,0,0,1,4,161.5,171.4,653.6,0
298,0,0,0,2,1,165,170,610.9,1
299,0,0,0,1,2,115.6,127.1,668.8,1
300,0,0,0,2,2,164.7,162.4,542.1,1
301,0,0,0,1,2,156.5,211.2,673.5,0
302,0,0,0,2,3,177.8,110.6,627.8,0
303,0,0,0,1,4,138.6,143.3,614.1,0
304,0,0,0,2,2,156.6,144.8,584.8,0
305,0,0,0,1,4,145.8,190.6,573.2,1
306,0,0,0,2,4,171.6,116.6,595.9,0
307,0,0,0,1,1,163.5,153.7,588.1,1
308,0,0,0,2,1,153,134,570.1,1
309,0,0,0,1,4,150.6,145.3,577,0
310,0,0,0,2,4,175.7,102.6,580.7,1
311,0,0,0,1,4,109,198.3,580.8,1
312,0,0,0,2,4,126,151.5,596.6,0
313,0,0,0,1,2,203.7,161.5,640.7,0
314,0,0,0,2,3,148.8,96.7,605.5,1
315,0,0,0,1,4,115.7,147.6,610.3,1
316,0,0,0,2,2,144.7,157.6,616.3,1
317,0,0,0,1,2,113.2,105.2,572.6,0
318,0,0,0,2,1,189.3,104.9,553.3,1
319,0,0,0,1,3,116.1,114.8,618,0
320,0,0,0,2,1,140.8,87.8,589.2,0
321,0,0,0,1,3,131.4,101.1,594.2,0
322,0,0,0,2,4,143.4,80,611.9,0
323,0,0,0,1,2,172.8,184.1,718.6,1
324,0,0,0,2,2,121.6,163.8,604.5,0
325,0,0,0,1,1,122.4,109.1,648.6,1
326,0,0,0,2,4,132.6,146.6,610.7,1
327,0,0,0,1,4,147.6,134.7,586.1,1
328,0,0,0,2,2,118.1,146.2,660,0
329,0,0,0,1,1,135.6,160.1,604.7,0
330,0,0,0,2,1,166.9,119.8,545.1,0
331,0,0,0,1,3,150.9,142.1,610.7,1
332,0,0,0,2,3,152.4,132.6,541.5,1
333,0,0,0,1,1,129.6,169.3,619.6,0
334,0,0,0,2,2,154.7,163.1,565.5,0
335,0,0,0,1,2,144.7,118.9,615.5,0
336,0,0,0,2,2,161,193.2,570.6,0
337,0,0,0,1,2,173.5,197.6,675.2,0
338,0,0,0,2,4,138.1,122.9,615.9,0
339,0,0,0,1,3,188.1,148.2,647.5,0
340,0,0,0,2,1,185,174.9,614.8,1
341,0,0,0,1,2,149.6,181.7,613.9,1
342,0,0,0,2,1,143.4,48.4,609.9,1
343,0,0,0,1,4,152.4,91.9,546.4,1
344,0,0,0,2,3,176.9,163.8,655.9,0
345,0,0,0,1,1,120.8,101.8,651.7,1
346,0,0,0,2,4,164,102.5,600.7,1
347,0,0,0,1,1,139.1,154.5,691.2,1
348,0,0,0,2,2,137.1,158.2,622.8,1
349,0,0,0,1,3,154.5,156.3,568,0
350,0,0,0,2,4,102,132.2,654.5,0
351,0,0,0,1,2,122.3,141.2,621.5,0
352,0,0,0,2,3,142.2,66.5,574.1,0
353,0,0,0,1,3,125.4,183.1,642.2,1
354,0,0,0,2,2,158.6,122.1,587.8,0
355,0,0,0,1,4,72.8,142.3,702.8,0
356,0,0,0,2,2,142.2,97.7,573.8,0
357,0,0,0,1,4,176.5,165.7,632.5,1
358,0,0,0,2,2,131.3,138.8,598.8,1
359,0,0,0,1,1,165.7,164.4,627.5,0
360,0,0,0,2,3,118.6,150.6,600.6,0
361,0,0,0,1,2,130.9,136,688.4,0
362,0,0,0,2,2,132.4,169.9,595.1,0
363,0,0,0,1,4,126.9,202.4,589.7,1
364,0,0,0,2,4,172.5,151.4,530.5,1
365,0,0,0,1,3,121.8,141.3,622.9,1
366,0,0,0,2,3,103.7,135,715.8,0
367,0,0,0,1,4,148.2,129.7,617,1
368,0,0,0,2,1,151.7,148,605.6,0
369,0,0,0,1,1,158.3,174.9,567.4,0
370,0,0,0,2,2,166.1,166,592.3,0
371,0,0,0,1,1,134.5,98.5,597.9,1
372,0,0,0,2,1,164.9,85.5,554.1,0
373,0,0,0,1,4,125.2,147.2,534.2,1
374,0,0,0,2,2,152.8,128.9,639,0
375,0,0,0,1,3,155.9,146.1,653.6,1
376,0,0,0,2,4,137.9,101.7,693.4,0
377,0,0,0,1,3,100.4,145.5,616.8,1
378,0,0,0,2,4,146.7,136.5,538.4,0
379,0,0,0,1,1,147.5,141.7,595.1,1
380,0,0,0,2,2,189.3,127.3,545,0
381,0,0,0,1,1,136.8,175.1,586.4,1
382,0,0,0,2,2,162.3,171.5,547.5,1
383,0,0,0,1,4,106.6,160.4,574,0
384,0,0,0,2,3,132.8,176.9,677.9,1
385,0,0,0,1,1,88,83.3,546.1,1
386,0,0,0,2,1,131.7,152.9,590.8,0
387,0,0,0,1,2,184.8,187,626.4,1
388,0,0,0,2,1,197.2,167.5,642.2,1
389,0,0,0,1,2,161.7,161.2,639.7,0
390,0,0,0,2,1,134.3,126.6,586.4,0
391,0,0,0,1,1,172,131.1,601.5,0
392,0,0,0,2,2,149.6,159.2,668.4,1
393,0,0,0,1,3,125.2,150.9,557.3,1
394,0,0,0,2,2,174.6,150.9,649,1
395,0,0,0,1,1,143,151.4,636.5,0
396,0,0,0,2,1,149.3,140.1,587.1,0
397,0,0,0,1,2,107.6,126.1,613.2,0
398,0,0,0,2,3,103.4,99.3,638,1
399,0,0,0,1,2,105.9,75.5,604.9,1
400,0,0,0,2,1,160.7,139.8,521.6,0
401,313,318,1,1,3,137.8,114.4,611.1,2
402,313,318,1,2,1,159.1,121.6,595.6,1
403,313,318,1,1,1,147,124.1,615.9,1
404,313,318,1,2,1,198.1,139,528.3,1
405,313,318,1,1,3,159.2,153.4,651.1,1
406,313,318,1,2,1,184.2,91.5,552.3,1
407,313,318,1,1,3,112.5,134.7,662.7,2
408,313,318,1,2,1,196.9,135.8,592.9,1
409,313,104,1,1,3,116.6,160,625,1
410,313,104,1,2,4,193.5,201.6,578.8,1
411,313,104,1,1,4,149.5,130.2,581.4,1
412,313,104,1,2,1,172,114.7,559.3,2
413,313,104,1,1,1,165.8,144.5,653.4,2
414,313,104,1,2,2,217.5,181.3,671.5,2
415,313,104,1,1,2,190.3,203.7,611.9,1
416,313,104,1,2,2,164.9,161.7,623.5,2
417,313,272,1,1,2,145.5,203.9,656.5,2
418,313,272,1,2,1,176,170.2,563.9,1
419,313,272,1,1,3,139.7,117.4,669.2,2
420,313,272,1,2,3,145.1,146.5,663.5,1
421,313,272,1,1,1,111,145.8,583.2,1
422,313,272,1,2,3,148.6,86.8,624.6,2
423,313,272,1,1,2,180.3,155.9,549.7,2
424,313,272,1,2,2,185.6,137,570.1,1
425,313,260,1,1,3,148.1,124.5,693.3,1
426,313,260,1,2,1,154.1,90.4,581.3,1
427,313,260,1,1,1,136.1,118.6,633.9,2
428,313,260,1,2,1,176.9,126.9,588,2
429,313,260,1,1,4,148.3,100.9,588.5,1
430,313,260,1,2,2,130.4,146.5,617.9,2
431,313,260,1,1,2,164.1,149.6,614.3,2
432,313,260,1,2,1,161.1,129.7,585.6,1
433,313,292,1,1,1,168.7,132.5,601.7,1
434,313,292,1,2,3,188.9,99.9,657.6,1
435,313,292,1,1,1,147.6,121.5,650.3,2
436,313,292,1,2,3,124.4,148,596.1,1
437,313,292,1,1,4,190.4,167.7,596.6,1
438,313,292,1,2,4,195,137.1,570,2
439,313,292,1,1,2,165.9,131.6,619.7,2
440,313,292,1,2,4,192.6,174.4,485.7,2
441,31,22,1,1,2,161.2,199.7,577.2,1
442,31,22,1,2,4,125.3,128.8,531.6,2
443,31,22,1,1,1,197.9,199.7,608.9,1
444,31,22,1,2,4,156.5,173.7,559,2
445,31,22,1,1,2,149.4,177.9,629.7,1
446,31,22,1,2,2,189.1,167.1,640.2,2
447,31,22,1,1,2,146.1,156.3,590.7,1
448,31,22,1,2,2,174.6,194,595.9,2
449,31,186,1,1,1,124.7,132.8,600,2
450,31,186,1,2,4,158.5,98.6,604.6,2
451,31,186,1,1,4,120.6,157,591.2,2
452,31,186,1,2,3,145.1,164.3,615.7,2
453,31,186,1,1,2,137.8,122.5,640.2,1
454,31,186,1,2,4,171.2,156.4,524.9,1
455,31,186,1,1,4,134,199.1,608.7,1
456,31,186,1,2,3,172.3,95.7,637.7,1
457,31,306,1,1,2,134.7,189.1,624.1,1
458,31,306,1,2,2,145.8,132.8,591.3,2
459,31,306,1,1,2,98.7,191.5,589,2
460,31,306,1,2,3,146.2,108.2,625.1,1
461,31,306,1,1,2,118.8,144.9,616.7,2
462,31,306,1,2,1,100.4,104.1,597.6,2
463,31,306,1,1,1,105.1,170,626.3,2
464,31,306,1,2,4,134.4,86.6,550.6,2
465,31,190,1,1,2,149.9,123.1,628.4,2
466,31,190,1,2,2,160.9,176.1,520.4,1
467,31,190,1,1,4,173,171.9,547.7,1
468,31,190,1,2,3,157.8,123.5,614.1,1
469,31,190,1,1,4,102,137.8,604,2
470,31,190,1,2,4,129.5,115.6,574.9,2
471,31,190,1,1,2,150.5,134.2,621.4,2
472,31,190,1,2,4,133.1,186.7,597.6,1
473,31,278,1,1,2,195.3,177.5,599.3,1
474,31,278,1,2,4,160.2,142.1,587.8,2
475,31,278,1,1,2,151.9,180.3,623,2
476,31,278,1,2,1,136.1,129.4,610.1,1
477,31,278,1,1,1,162.6,150.7,661.1,2
478,31,278,1,2,2,156,145.9,571.1,1
479,31,278,1,1,4,156.9,153.2,589.5,1
480,31,278,1,2,3,167.8,140.8,633.5,2
481,339,52,1,1,2,142,154.4,627.4,2
482,339,52,1,2,3,129.7,116.6,621,1
483,339,52,1,1,3,161.6,98,634.6,1
484,339,52,1,2,1,178.5,129.4,560.4,1
485,339,52,1,1,2,167.8,151.6,610.4,1
486,339,52,1,2,2,170.3,113.1,632.5,1
487,339,52,1,1,3,162.1,170.9,612.2,2
488,339,52,1,2,4,181.2,177.8,585.6,1
489,339,20,1,1,2,157.3,170.6,588.5,1
490,339,20,1,2,4,136.2,136.7,587.2,2
491,339,20,1,1,4,103.7,102.1,671,2
492,339,20,1,2,2,173.4,161.1,591.7,2
493,339,20,1,1,4,191.1,146.8,652.7,1
494,339,20,1,2,1,141.3,111.2,637.1,1
495,339,20,1,1,3,143.1,160.4,613.9,1
496,339,20,1,2,4,176.2,154.4,606.3,1
497,339,254,1,1,4,137.5,141.4,610.6,1
498,339,254,1,2,4,116.7,107.5,552,2
499,339,254,1,1,1,176.5,112.5,580,2
500,339,254,1,2,1,158.5,136.7,587.1,2
501,339,254,1,1,3,188.5,157,651.4,1
502,339,254,1,2,3,162.5,117.9,561.2,2
503,339,254,1,1,2,189.8,153.7,609,1
504,339,254,1,2,3,170.1,145.9,572.2,1
505,339,266,1,1,1,236.1,174.1,565.7,2
506,339,266,1,2,3,185.4,131.1,558.8,1
507,339,266,1,1,1,157.8,193.7,645.3,1
508,339,266,1,2,2,198.2,137.9,539.5,1
509,339,266,1,1,3,160.6,132,574,2
510,339,266,1,2,3,190.5,175.1,627.5,2
511,339,266,1,1,3,168.6,203.1,639.2,2
512,339,266,1,2,4,158.3,92,626.3,1
513,339,394,1,1,1,153.4,151.1,631.9,2
514,339,394,1,2,4,210.7,171.9,599,1
515,339,394,1,1,1,174.1,115,623.3,1
516,339,394,1,2,1,164.1,171.4,623.5,2
517,339,394,1,1,3,130.9,138.6,611.4,2
518,339,394,1,2,4,198,202.6,585.2,1
519,339,394,1,1,2,131.3,136.3,598.9,1
520,339,394,1,2,2,168.3,153.4,615.7,1
521,25,232,1,1,4,173.2,165.9,609.4,1
522,25,232,1,2,3,160.2,108.8,659,1
523,25,232,1,1,3,153.6,116.6,619.2,1
524,25,232,1,2,1,142.6,141.3,594.7,1
525,25,232,1,1,2,140.8,100.8,601.2,1
526,25,232,1,2,1,162.5,112.2,556.6,2
527,25,232,1,1,4,148.5,96.3,614.5,2
528,25,232,1,2,1,186.1,143.3,547.4,2
529,25,118,1,1,2,163.8,133.8,611.1,2
530,25,118,1,2,2,182.4,128.3,611.1,2
531,25,118,1,1,2,161.2,173.9,639.1,1
532,25,118,1,2,1,161.8,164.8,631.1,1
533,25,118,1,1,3,166.7,168.3,645.7,2
534,25,118,1,2,1,161.7,122.4,580.7,2
535,25,118,1,1,1,164.4,122.7,604.7,1
536,25,118,1,2,2,148.4,117.2,609.6,1
537,25,302,1,1,4,166.9,186.2,602,2
538,25,302,1,2,1,148.8,163.4,550.9,1
539,25,302,1,1,4,162.8,149.5,582.7,1
540,25,302,1,2,4,162.9,149.8,594.3,1
541,25,302,1,1,3,113.5,92.3,597.3,2
542,25,302,1,2,4,127.6,150.4,561.8,2
543,25,302,1,1,2,105.2,91.8,654.2,1
544,25,302,1,2,2,194.9,169.4,641.2,2
545,25,120,1,1,1,152.2,118.6,675.3,2
546,25,120,1,2,1,169.4,156.3,593.9,2
547,25,120,1,1,3,164.9,149.9,598.1,1
548,25,120,1,2,4,132.8,78.7,561.2,1
