"id","sire","dam","gen","genotype"
189,NA,NA,0,0
190,NA,NA,0,0
191,NA,NA,0,1
192,NA,NA,0,1
193,NA,NA,0,1
194,NA,NA,0,2
195,NA,NA,0,0
196,NA,NA,0,1
197,NA,NA,0,1
198,NA,NA,0,1
199,NA,NA,0,0
200,NA,NA,0,1
201,NA,NA,0,2
202,NA,NA,0,1
203,NA,NA,0,0
204,NA,NA,0,0
205,NA,NA,0,1
206,NA,NA,0,0
207,NA,NA,0,0
208,NA,NA,0,1
209,NA,NA,0,0
210,NA,NA,0,0
211,NA,NA,0,0
212,NA,NA,0,1
213,NA,NA,0,1
214,NA,NA,0,1
215,NA,NA,0,1
216,NA,NA,0,1
217,NA,NA,0,1
218,NA,NA,0,1
219,NA,NA,0,2
220,NA,NA,0,1
221,NA,NA,0,0
222,NA,NA,0,1
223,NA,NA,0,0
224,NA,NA,0,1
225,NA,NA,0,1
226,NA,NA,0,0
227,NA,NA,0,2
228,NA,NA,0,0
229,NA,NA,0,1
230,NA,NA,0,1
231,NA,NA,0,1
232,NA,NA,0,0
233,NA,NA,0,2
234,NA,NA,0,1
235,NA,NA,0,1
236,NA,NA,0,0
237,NA,NA,0,0
238,NA,NA,0,1
239,NA,NA,0,1
240,NA,NA,0,1
241,NA,NA,0,1
242,NA,NA,0,2
243,NA,NA,0,0
244,NA,NA,0,0
245,NA,NA,0,0
246,NA,NA,0,0
247,NA,NA,0,2
248,NA,NA,0,2
249,NA,NA,0,2
250,NA,NA,0,1
251,NA,NA,0,0
252,NA,NA,0,1
253,NA,NA,0,0
254,NA,NA,0,0
255,NA,NA,0,0
256,NA,NA,0,1
257,NA,NA,0,0
258,NA,NA,0,0
259,NA,NA,0,1
260,NA,NA,0,1
261,NA,NA,0,0
262,NA,NA,0,2
263,NA,NA,0,0
264,NA,NA,0,1
265,NA,NA,0,0
266,NA,NA,0,1
267,NA,NA,0,1
268,NA,NA,0,1
269,NA,NA,0,1
270,NA,NA,0,0
271,NA,NA,0,1
272,NA,NA,0,0
273,NA,NA,0,0
274,NA,NA,0,0
275,NA,NA,0,1
276,NA,NA,0,2
277,NA,NA,0,0
278,NA,NA,0,0
279,NA,NA,0,1
280,NA,NA,0,0
281,NA,NA,0,1
282,NA,NA,0,1
283,NA,NA,0,0
284,NA,NA,0,1
285,NA,NA,0,1
286,NA,NA,0,1
287,NA,NA,0,1
288,NA,NA,0,0
289,NA,NA,0,2
290,NA,NA,0,0
291,NA,NA,0,0
292,NA,NA,0,0
293,NA,NA,0,0
294,NA,NA,0,1
295,NA,NA,0,2
296,NA,NA,0,1
297,NA,NA,0,0
298,NA,NA,0,1
299,NA,NA,0,0
300,NA,NA,0,1
301,NA,NA,0,1
302,NA,NA,0,0
303,NA,NA,0,1
304,NA,NA,0,0
305,NA,NA,0,1
306,NA,NA,0,1
307,NA,NA,0,1
308,NA,NA,0,1
309,NA,NA,0,1
310,NA,NA,0,1
311,NA,NA,0,2
312,NA,NA,0,1
313,NA,NA,0,1
314,NA,NA,0,2
315,NA,NA,0,1
316,NA,NA,0,0
317,NA,NA,0,0
318,NA,NA,0,1
319,NA,NA,0,0
320,NA,NA,0,1
321,NA,NA,0,1
322,NA,NA,0,1
323,NA,NA,0,0
324,NA,NA,0,1
325,NA,NA,0,1
326,NA,NA,0,1
327,NA,NA,0,1
328,NA,NA,0,0
329,NA,NA,0,0
330,NA,NA,0,1
331,NA,NA,0,1
332,NA,NA,0,0
333,NA,NA,0,0
334,NA,NA,0,0
335,NA,NA,0,0
336,NA,NA,0,0
337,NA,NA,0,1
338,NA,NA,0,2
339,NA,NA,0,0
340,NA,NA,0,0
341,NA,NA,0,0
342,NA,NA,0,0
343,NA,NA,0,1
344,NA,NA,0,1
345,NA,NA,0,2
346,NA,NA,0,1
347,NA,NA,0,2
348,NA,NA,0,1
349,NA,NA,0,0
350,NA,NA,0,0
351,NA,NA,0,0
352,NA,NA,0,1
353,NA,NA,0,0
354,NA,NA,0,0
355,NA,NA,0,0
356,NA,NA,0,0
357,NA,NA,0,2
358,NA,NA,0,0
359,NA,NA,0,0
360,NA,NA,0,0
361,NA,NA,0,1
362,NA,NA,0,0
363,NA,NA,0,1
364,NA,NA,0,1
365,NA,NA,0,0
366,NA,NA,0,0
367,NA,NA,0,1
368,NA,NA,0,0
369,NA,NA,0,0
370,NA,NA,0,0
371,NA,NA,0,0
372,NA,NA,0,0
373,NA,NA,0,0
374,NA,NA,0,0
375,NA,NA,0,0
376,NA,NA,0,1
377,NA,NA,0,0
378,NA,NA,0,1
379,NA,NA,0,1
380,NA,NA,0,0
381,NA,NA,0,0
382,NA,NA,0,0
383,NA,NA,0,0
384,NA,NA,0,1
385,NA,NA,0,0
386,NA,NA,0,2
387,NA,NA,0,0
388,NA,NA,0,0
389,NA,NA,0,1
390,NA,NA,0,1
391,NA,NA,0,1
392,NA,NA,0,1
393,NA,NA,0,0
394,NA,NA,0,0
395,NA,NA,0,0
396,NA,NA,0,0
397,NA,NA,0,0
398,NA,NA,0,0
399,NA,NA,0,1
400,NA,NA,0,1
401,247,370,1,1
402,247,370,1,1
403,247,370,1,1
404,247,370,1,1
405,247,370,1,1
406,247,370,1,1
407,247,370,1,1
408,247,370,1,1
409,247,378,1,2
410,247,378,1,2
411,247,378,1,2
412,247,378,1,1
413,247,378,1,2
414,247,378,1,2
415,247,378,1,2
416,247,378,1,2
417,247,39,1,2
418,247,39,1,2
419,247,39,1,1
420,247,39,1,1
421,247,39,1,1
422,247,39,1,1
423,247,39,1,2
424,247,39,1,2
425,247,379,1,2
426,247,379,1,1
427,247,379,1,2
428,247,379,1,1
429,247,379,1,2
430,247,379,1,2
431,247,379,1,1
432,247,379,1,1
433,247,10,1,2
434,247,10,1,2
435,247,10,1,2
436,247,10,1,2
437,247,10,1,2
438,247,10,1,2
439,247,10,1,2
440,247,10,1,2
441,107,166,1,2
442,107,166,1,0
443,107,166,1,0
444,107,166,1,0
445,107,166,1,1
446,107,166,1,1
447,107,166,1,2
448,107,166,1,0
449,107,183,1,0
450,107,183,1,1
451,107,183,1,1
452,107,183,1,0
453,107,183,1,2
454,107,183,1,1
455,107,183,1,1
456,107,183,1,1
457,107,211,1,1
458,107,211,1,0
459,107,211,1,0
460,107,211,1,1
461,107,211,1,1
462,107,211,1,1
463,107,211,1,1
464,107,211,1,0
465,107,288,1,1
466,107,288,1,1
467,107,288,1,0
468,107,288,1,0
469,107,288,1,1
470,107,288,1,0
471,107,288,1,0
472,107,288,1,0
473,107,351,1,1
474,107,351,1,0
475,107,351,1,0
476,107,351,1,0
477,107,351,1,1
478,107,351,1,0
479,107,351,1,0
480,107,351,1,0
481,44,287,1,1
482,44,287,1,1
483,44,287,1,2
484,44,287,1,1
485,44,287,1,2
486,44,287,1,1
487,44,287,1,1
488,44,287,1,1
489,44,223,1,1
490,44,223,1,1
491,44,223,1,1
492,44,223,1,1
493,44,223,1,1
494,44,223,1,1
495,44,223,1,1
496,44,223,1,1
497,44,240,1,2
498,44,240,1,2
499,44,240,1,2
500,44,240,1,1
501,44,240,1,2
502,44,240,1,1
503,44,240,1,2
504,44,240,1,2
505,44,322,1,1
506,44,322,1,1
507,44,322,1,2
508,44,322,1,1
509,44,322,1,1
510,44,322,1,1
511,44,322,1,1
512,44,322,1,1
513,44,234,1,2
514,44,234,1,2
515,44,234,1,1
516,44,234,1,1
517,44,234,1,2
518,44,234,1,2
519,44,234,1,1
520,44,234,1,2
521,144,104,1,2
522,144,104,1,1
523,144,104,1,1
524,144,104,1,2
525,144,104,1,1
526,144,104,1,2
527,144,104,1,2
528,144,104,1,2
529,144,327,1,1
530,144,327,1,1
531,144,327,1,1
532,144,327,1,2
533,144,327,1,1
534,144,327,1,2
535,144,327,1,2
536,144,327,1,1
537,144,19,1,2
538,144,19,1,1
539,144,19,1,2
540,144,19,1,1
541,144,19,1,1
542,144,19,1,2
543,144,19,1,2
544,144,19,1,1
545,144,111,1,2
546,144,111,1,1
547,144,111,1,2
548,144,111,1,2
549,144,111,1,1
550,144,111,1,1
551,144,111,1,2
552,144,111,1,1
553,144,112,1,1
554,144,112,1,1
555,144,112,1,1
556,144,112,1,1
557,144,112,1,1
558,144,112,1,1
559,144,112,1,1
560,144,112,1,1
561,157,269,1,1
562,157,269,1,1
563,157,269,1,2
564,157,269,1,0
565,157,269,1,1
566,157,269,1,2
567,157,269,1,2
568,157,269,1,0
569,157,3,1,1
570,157,3,1,1
571,157,3,1,1
572,157,3,1,0
573,157,3,1,0
574,157,3,1,0
575,157,3,1,0
576,157,3,1,1
577,157,334,1,0
578,157,334,1,1
579,157,334,1,0
580,157,334,1,0
581,157,334,1,0
582,157,334,1,1
583,157,334,1,1
584,157,334,1,1
585,157,311,1,2
586,157,311,1,2
587,157,311,1,2
588,157,311,1,1
589,157,311,1,2
590,157,311,1,1
591,157,311,1,2
592,157,311,1,2
593,157,238,1,0
594,157,238,1,2
595,157,238,1,1
596,157,238,1,1
597,157,238,1,2
598,157,238,1,1
599,157,238,1,0
600,157,238,1,2
601,276,386,1,2
602,276,386,1,2
603,276,386,1,2
604,276,386,1,2
605,276,386,1,2
606,276,386,1,2
607,276,386,1,2
608,276,386,1,2
609,276,82,1,2
610,276,82,1,2
611,276,82,1,2
612,276,82,1,2
613,276,82,1,2
614,276,82,1,2
615,276,82,1,2
616,276,82,1,2
617,276,78,1,1
618,276,78,1,1
619,276,78,1,1
620,276,78,1,1
621,276,78,1,1
622,276,78,1,1
623,276,78,1,1
624,276,78,1,1
625,276,314,1,2
626,276,314,1,2
627,276,314,1,2
628,276,314,1,2
629,276,314,1,2
630,276,314,1,2
631,276,314,1,2
632,276,314,1,2
633,276,203,1,1
634,276,203,1,1
635,276,203,1,1
636,276,203,1,1
637,276,203,1,1
638,276,203,1,1
639,276,203,1,1
640,276,203,1,1
641,343,159,1,2
642,343,159,1,0
643,343,159,1,1
644,343,159,1,1
645,343,159,1,0
646,343,159,1,1
647,343,159,1,0
648,343,159,1,2
649,343,56,1,1
650,343,56,1,0
651,343,56,1,0
652,343,56,1,0
653,343,56,1,1
654,343,56,1,1
655,343,56,1,1
656,343,56,1,0
657,343,127,1,0
658,343,127,1,1
659,343,127,1,2
660,343,127,1,1
661,343,127,1,1
662,343,127,1,2
663,343,127,1,0
664,343,127,1,1
665,343,201,1,2
666,343,201,1,2
667,343,201,1,2
668,343,201,1,1
669,343,201,1,2
670,343,201,1,2
671,343,201,1,1
672,343,201,1,1
673,343,345,1,1
674,343,345,1,1
675,343,345,1,1
676,343,345,1,1
677,343,345,1,2
678,343,345,1,2
679,343,345,1,1
680,343,345,1,1
681,89,28,1,2
682,89,28,1,2
683,89,28,1,2
684,89,28,1,2
685,89,28,1,2
686,89,28,1,0
687,89,28,1,0
688,89,28,1,1
689,89,55,1,1
690,89,55,1,0
691,89,55,1,1
692,89,55,1,1
693,89,55,1,0
694,89,55,1,0
695,89,55,1,0
696,89,55,1,1
697,89,109,1,1
698,89,109,1,1
699,89,109,1,1
700,89,109,1,1
701,89,109,1,1
702,89,109,1,0
703,89,109,1,1
704,89,109,1,0
705,89,233,1,2
706,89,233,1,2
707,89,233,1,1
708,89,233,1,1
709,89,233,1,1
710,89,233,1,2
711,89,233,1,1
712,89,233,1,1
713,89,391,1,0
714,89,391,1,2
715,89,391,1,0
716,89,391,1,0
717,89,391,1,0
718,89,391,1,2
719,89,391,1,1
720,89,391,1,2
721,49,193,1,1
722,49,193,1,1
723,49,193,1,2
724,49,193,1,1
725,49,193,1,1
726,49,193,1,2
727,49,193,1,2
728,49,193,1,2
729,49,376,1,1
730,49,376,1,2
731,49,376,1,2
732,49,376,1,1
733,49,376,1,2
734,49,376,1,1
735,49,376,1,2
736,49,376,1,1
737,49,194,1,2
738,49,194,1,2
739,49,194,1,2
740,49,194,1,2
741,49,194,1,2
742,49,194,1,2
743,49,194,1,2
744,49,194,1,2
745,49,204,1,1
746,49,204,1,1
747,49,204,1,1
748,49,204,1,1
749,49,204,1,1
750,49,204,1,1
751,49,204,1,1
752,49,204,1,1
753,49,80,1,2
754,49,80,1,1
755,49,80,1,1
756,49,80,1,2
757,49,80,1,1
758,49,80,1,2
759,49,80,1,2
760,49,80,1,1
761,97,121,1,1
762,97,121,1,1
763,97,121,1,1
764,97,121,1,1
765,97,121,1,1
766,97,121,1,1
767,97,121,1,1
768,97,121,1,1
769,97,42,1,1
770,97,42,1,1
771,97,42,1,1
772,97,42,1,1
773,97,42,1,1
774,97,42,1,1
775,97,42,1,1
776,97,42,1,1
777,97,336,1,1
778,97,336,1,1
779,97,336,1,1
780,97,336,1,1
781,97,336,1,1
782,97,336,1,1
783,97,336,1,1
784,97,336,1,1
785,97,321,1,1
786,97,321,1,2
787,97,321,1,2
788,97,321,1,2
789,97,321,1,2
790,97,321,1,1
791,97,321,1,1
792,97,321,1,1
793,97,301,1,2
794,97,301,1,2
795,97,301,1,2
796,97,301,1,1
797,97,301,1,1
798,97,301,1,1
799,97,301,1,2
800,97,301,1,1
801,682,777,2,1
802,682,777,2,1
803,682,777,2,2
804,682,777,2,1
805,682,777,2,1
806,682,777,2,1
807,682,777,2,2
808,682,777,2,2
809,682,630,2,2
810,682,630,2,2
811,682,630,2,2
812,682,630,2,2
813,682,630,2,2
814,682,630,2,2
815,682,630,2,2
816,682,630,2,2
817,682,648,2,2
818,682,648,2,2
819,682,648,2,2
820,682,648,2,2
821,682,648,2,2
822,682,648,2,2
823,682,648,2,2
824,682,648,2,2
825,682,506,2,2
826,682,506,2,2
827,682,506,2,2
828,682,506,2,2
829,682,506,2,2
830,682,506,2,2
831,682,506,2,2
832,682,506,2,1
833,682,416,2,2
834,682,416,2,2
835,682,416,2,2
836,682,416,2,2
837,682,416,2,2
838,682,416,2,2
839,682,416,2,2
840,682,416,2,2
841,539,432,2,1
842,539,432,2,1
843,539,432,2,2
844,539,432,2,2
845,539,432,2,2
846,539,432,2,2
847,539,432,2,1
848,539,432,2,2
849,539,544,2,2
850,539,544,2,2
851,539,544,2,2
852,539,544,2,1
853,539,544,2,1
854,539,544,2,1
855,539,544,2,1
856,539,544,2,2
857,539,493,2,1
858,539,493,2,2
859,539,493,2,1
860,539,493,2,1
861,539,493,2,1
862,539,493,2,2
863,539,493,2,2
864,539,493,2,1
865,539,795,2,2
866,539,795,2,2
867,539,795,2,2
868,539,795,2,2
869,539,795,2,2
870,539,795,2,2
871,539,795,2,2
872,539,795,2,2
873,539,597,2,2
874,539,597,2,2
875,539,597,2,2
876,539,597,2,2
877,539,597,2,2
878,539,597,2,2
879,539,597,2,2
880,539,597,2,2
881,433,425,2,2
882,433,425,2,2
883,433,425,2,2
884,433,425,2,2
885,433,425,2,2
886,433,425,2,2
887,433,425,2,2
888,433,425,2,2
889,433,587,2,2
890,433,587,2,2
891,433,587,2,2
892,433,587,2,2
893,433,587,2,2
894,433,587,2,2
895,433,587,2,2
896,433,587,2,2
897,433,447,2,2
898,433,447,2,2
899,433,447,2,2
900,433,447,2,2
901,433,447,2,2
902,433,447,2,2
903,433,447,2,2
904,433,447,2,2
905,433,780,2,1
906,433,780,2,1
907,433,780,2,2
908,433,780,2,2
909,433,780,2,1
910,433,780,2,2
911,433,780,2,2
912,433,780,2,2
913,433,641,2,2
914,433,641,2,2
915,433,641,2,2
916,433,641,2,2
917,433,641,2,2
918,433,641,2,2
919,433,641,2,2
920,433,641,2,2
921,546,551,2,2
922,546,551,2,1
923,546,551,2,1
924,546,551,2,1
925,546,551,2,1
926,546,551,2,2
927,546,551,2,1
928,546,551,2,2
929,546,706,2,2
930,546,706,2,2
931,546,706,2,2
932,546,706,2,2
933,546,706,2,1
934,546,706,2,1
935,546,706,2,1
936,546,706,2,2
937,546,786,2,1
938,546,786,2,2
939,546,786,2,1
940,546,786,2,1
941,546,786,2,2
942,546,786,2,2
943,546,786,2,1
944,546,786,2,1
945,546,410,2,2
946,546,410,2,1
947,546,410,2,1
948,546,410,2,2
949,546,410,2,1
950,546,410,2,2
951,546,410,2,2
952,546,410,2,2
953,546,408,2,0
954,546,408,2,0
955,546,408,2,1
956,546,408,2,0
957,546,408,2,1
958,546,408,2,1
959,546,408,2,1
960,546,408,2,2
961,520,413,2,2
962,520,413,2,2
963,520,413,2,2
964,520,413,2,2
965,520,413,2,2
966,520,413,2,2
967,520,413,2,2
968,520,413,2,2
969,520,411,2,2
970,520,411,2,2
971,520,411,2,2
972,520,411,2,2
973,520,411,2,2
974,520,411,2,2
975,520,411,2,2
976,520,411,2,2
977,520,601,2,2
978,520,601,2,2
979,520,601,2,2
980,520,601,2,2
981,520,601,2,2
982,520,601,2,2
983,520,601,2,2
984,520,601,2,2
985,520,628,2,2
986,520,628,2,2
987,520,628,2,2
988,520,628,2,2
989,520,628,2,2
990,520,628,2,2
991,520,628,2,2
992,520,628,2,2
993,520,730,2,2
994,520,730,2,2
995,520,730,2,2
996,520,730,2,2
997,520,730,2,2
998,520,730,2,2
999,520,730,2,2
1000,520,730,2,2
1001,559,535,2,2
1002,559,535,2,1
1003,559,535,2,2
1004,559,535,2,1
1005,559,535,2,2
1006,559,535,2,2
1007,559,535,2,1
1008,559,535,2,2
1009,559,725,2,2
1010,559,725,2,1
1011,559,725,2,1
1012,559,725,2,1
1013,559,725,2,1
1014,559,725,2,2
1015,559,725,2,0
1016,559,725,2,1
1017,559,589,2,1
1018,559,589,2,2
1019,559,589,2,1
1020,559,589,2,2
1021,559,589,2,1
1022,559,589,2,2
1023,559,589,2,1
1024,559,589,2,2
1025,559,526,2,1
1026,559,526,2,2
1027,559,526,2,1
1028,559,526,2,1
1029,559,526,2,2
1030,559,526,2,2
1031,559,526,2,1
1032,559,526,2,2
1033,559,517,2,2
1034,559,517,2,2
1035,559,517,2,2
1036,559,517,2,2
1037,559,517,2,2
1038,559,517,2,1
1039,559,517,2,2
1040,559,517,2,2
1041,519,672,2,1
1042,519,672,2,0
1043,519,672,2,1
1044,519,672,2,1
1045,519,672,2,1
1046,519,672,2,2
1047,519,672,2,0
1048,519,672,2,2
1049,519,419,2,1
1050,519,419,2,2
1051,519,419,2,1
1052,519,419,2,1
1053,519,419,2,1
1054,519,419,2,2
1055,519,419,2,2
1056,519,419,2,1
1057,519,417,2,2
1058,519,417,2,1
1059,519,417,2,2
1060,519,417,2,2
1061,519,417,2,2
1062,519,417,2,1
1063,519,417,2,2
1064,519,417,2,1
1065,519,584,2,1
1066,519,584,2,2
1067,519,584,2,2
1068,519,584,2,2
1069,519,584,2,1
1070,519,584,2,0
1071,519,584,2,0
1072,519,584,2,1
1073,519,710,2,1
1074,519,710,2,1
1075,519,710,2,1
1076,519,710,2,1
1077,519,710,2,1
1078,519,710,2,2
1079,519,710,2,2
1080,519,710,2,1
1081,775,548,2,1
1082,775,548,2,2
1083,775,548,2,1
1084,775,548,2,1
1085,775,548,2,1
1086,775,548,2,1
1087,775,548,2,2
1088,775,548,2,2
1089,775,783,2,1
1090,775,783,2,1
1091,775,783,2,1
1092,775,783,2,0
1093,775,783,2,1
1094,775,783,2,1
1095,775,783,2,1
1096,775,783,2,1
1097,775,415,2,2
1098,775,415,2,2
1099,775,415,2,2
1100,775,415,2,1
1101,775,415,2,2
1102,775,415,2,2
1103,775,415,2,1
1104,775,415,2,1
1105,775,720,2,2
1106,775,720,2,2
1107,775,720,2,1
1108,775,720,2,1
1109,775,720,2,1
1110,775,720,2,2
1111,775,720,2,1
1112,775,720,2,1
1113,775,665,2,2
1114,775,665,2,2
1115,775,665,2,2
1116,775,665,2,2
1117,775,665,2,2
1118,775,665,2,1
1119,775,665,2,2
1120,775,665,2,1
1121,466,637,2,2
1122,466,637,2,2
1123,466,637,2,0
1124,466,637,2,1
1125,466,637,2,2
1126,466,637,2,0
1127,466,637,2,1
1128,466,637,2,2
1129,466,491,2,1
1130,466,491,2,1
1131,466,491,2,2
1132,466,491,2,0
1133,466,491,2,0
1134,466,491,2,1
1135,466,491,2,1
1136,466,491,2,2
1137,466,525,2,1
1138,466,525,2,1
1139,466,525,2,1
1140,466,525,2,1
1141,466,525,2,2
1142,466,525,2,0
1143,466,525,2,2
1144,466,525,2,0
1145,466,503,2,1
1146,466,503,2,2
1147,466,503,2,2
1148,466,503,2,1
1149,466,503,2,2
1150,466,503,2,1
1151,466,503,2,1
1152,466,503,2,1
1153,466,538,2,0
1154,466,538,2,2
1155,466,538,2,1
1156,466,538,2,2
1157,466,538,2,0
1158,466,538,2,1
1159,466,538,2,1
1160,466,538,2,0
1161,681,518,2,2
1162,681,518,2,2
1163,681,518,2,2
1164,681,518,2,2
1165,681,518,2,2
1166,681,518,2,2
1167,681,518,2,2
1168,681,518,2,2
1169,681,629,2,2
1170,681,629,2,2
1171,681,629,2,2
1172,681,629,2,2
1173,681,629,2,2
1174,681,629,2,2
1175,681,629,2,2
1176,681,629,2,2
1177,681,441,2,2
1178,681,441,2,2
1179,681,441,2,2
1180,681,441,2,2
1181,681,441,2,2
1182,681,441,2,2
1183,681,441,2,2
1184,681,441,2,2
1185,681,453,2,2
1186,681,453,2,2
1187,681,453,2,2
1188,681,453,2,2
1189,681,453,2,2
1190,681,453,2,2
1191,681,453,2,2
1192,681,453,2,2
1193,681,463,2,1
1194,681,463,2,1
1195,681,463,2,2
1196,681,463,2,2
1197,681,463,2,1
1198,681,463,2,1
1199,681,463,2,2
1200,681,463,2,2
1201,989,1119,3,2
1202,989,1119,3,2
1203,989,1119,3,2
1204,989,1119,3,2
1205,989,1119,3,2
1206,989,1119,3,2
1207,989,1119,3,2
1208,989,1119,3,2
1209,989,972,3,2
1210,989,972,3,2
1211,989,972,3,2
1212,989,972,3,2
1213,989,972,3,2
1214,989,972,3,2
1215,989,972,3,2
1216,989,972,3,2
1217,989,825,3,2
1218,989,825,3,2
1219,989,825,3,2
1220,989,825,3,2
1221,989,825,3,2
1222,989,825,3,2
1223,989,825,3,2
1224,989,825,3,2
1225,989,1183,3,2
1226,989,1183,3,2
1227,989,1183,3,2
1228,989,1183,3,2
1229,989,1183,3,2
1230,989,1183,3,2
1231,989,1183,3,2
1232,989,1183,3,2
1233,989,1143,3,2
1234,989,1143,3,2
1235,989,1143,3,2
1236,989,1143,3,2
1237,989,1143,3,2
1238,989,1143,3,2
1239,989,1143,3,2
1240,989,1143,3,2
1241,890,1026,3,2
1242,890,1026,3,2
1243,890,1026,3,2
1244,890,1026,3,2
1245,890,1026,3,2
1246,890,1026,3,2
1247,890,1026,3,2
1248,890,1026,3,2
1249,890,1192,3,2
1250,890,1192,3,2
1251,890,1192,3,2
1252,890,1192,3,2
1253,890,1192,3,2
1254,890,1192,3,2
1255,890,1192,3,2
1256,890,1192,3,2
1257,890,916,3,2
1258,890,916,3,2
1259,890,916,3,2
1260,890,916,3,2
1261,890,916,3,2
1262,890,916,3,2
1263,890,916,3,2
1264,890,916,3,2
1265,890,932,3,2
1266,890,932,3,2
1267,890,932,3,2
1268,890,932,3,2
1269,890,932,3,2
1270,890,932,3,2
1271,890,932,3,2
1272,890,932,3,2
1273,890,895,3,2
1274,890,895,3,2
1275,890,895,3,2
1276,890,895,3,2
1277,890,895,3,2
1278,890,895,3,2
1279,890,895,3,2
1280,890,895,3,2
1281,978,1016,3,2
1282,978,1016,3,2
1283,978,1016,3,2
